,Row.names,ACCNUM,SYMBOL,GO,Control1_Exp1,Control2_Exp2,Control3_Exp3
6649,10344817,NA,Cspp1,centrosome and spindle pole associated protein 1,-0.060099742,0.065438985,-2.954886713
6650,10344819,NA,Cspp1,centrosome and spindle pole associated protein 1,-0.238604944,0.786214328,-1.412246504
6651,10344821,NA,Cspp1,centrosome and spindle pole associated protein 1,0.192018362,0.734280547,-0.122666764
6653,10344837,NA,Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",0.022077893,0.357203294,-0.149902138
6654,10344879,NA,A830018L16Rik,RIKEN cDNA A830018L16 gene,0.158049232,-0.16534567,0.09914108
6656,10344897,NA,Sulf1,sulfatase 1,-0.625771735,0.844950743,-0.560143425
6658,10344924,NA,Xkr9,X Kell blood group precursor related family member 9 homolog,-0.075705591,-0.119015782,0.162492779
6662,10344935,NA,Kcnb2,"potassium voltage gated channel, Shab-related subfamily, member 2",-0.182064021,0.012625464,0.538970913
6663,10344939,NA,Terf1,telomeric repeat binding factor 1,-0.265634888,0.028100698,-1.291688006
6664,10344950,NA,Gm7634,predicted gene 7634,0.484333196,0.35001777,0.202238962
6665,10344952,NA,Rdh10,retinol dehydrogenase 10 (all-trans),-0.608541707,-0.139014476,-0.457463456
6666,10344960,NA,Tmem70,transmembrane protein 70,0.067781321,-0.192628851,0.087984043
6667,10344966,NA,Ly96,lymphocyte antigen 96,-0.225380706,-0.342245167,-1.849798758
6668,10344973,NA,Gdap1,ganglioside-induced differentiation-associated-protein 1,0.380157006,-0.417096233,0.471231773
6669,10344981,NA,Pi15,peptidase inhibitor 15,0.25482461,0.032835662,0.767486475
6670,10344990,NA,Crispld1,cysteine-rich secretory protein LCCL domain containing 1,0.545635758,-0.756214237,0.430722578
6671,10345007,NA,Tfap2d,"transcription factor AP-2, delta",0.401063246,-0.853517878,0.139126431
6672,10345016,NA,Tfap2b,transcription factor AP-2 beta,0.299157213,-0.527034288,0.586794583
6673,10345025,NA,Iars,isoleucine-tRNA synthetase,-0.264912334,1.82381609,-0.642745739
6674,10345028,NA,Mir206,microRNA 206,0.072827174,-0.487700642,0.22865082
6675,10345030,NA,Mir133b,microRNA 133b,-0.19804485,-0.480269105,0.437265398
6676,10345032,NA,Il17a,interleukin 17A,0.214806077,-0.135027879,0.270328234
6677,10345037,NA,Paqr8,progestin and adipoQ receptor family member VIII,-0.218555961,0.160790397,0.151687865
6678,10345046,NA,Efhc1,EF-hand domain (C-terminal) containing 1,-0.23580432,0.260080635,0.43715484
6679,10345058,NA,Tmem14a,transmembrane protein 14A,0.727898514,-0.386784447,0.262290265
6680,10345065,NA,Gsta3,"glutathione S-transferase, alpha 3",0.534529317,-0.560946675,0.464773
6681,10345074,NA,Cetn4,centrin 4,-0.287019488,-0.250355212,0.175021277
6682,10345077,NA,Khdc1a,KH domain containing 1A,0.870286197,-0.499748135,-0.111010382
6684,10345083,NA,Khdc1b,KH domain containing 1B,0.199759029,-0.325574856,0.417520776
6685,10345087,NA,Mir30a,microRNA 30a,-0.299044313,0.182169967,-0.459421654
6686,10345089,NA,Mir30c-2,microRNA 30c-2,0.678153194,-0.759863871,0.270957194
6687,10345091,NA,B3gat2,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",-0.004813872,0.45913102,0.526749899
6689,10345101,NA,Col9a1,"collagen, type IX, alpha 1",0.062324079,-0.123606761,0.376115539
6690,10345141,NA,Lmbrd1,LMBR1 domain containing 1,-0.189382485,0.587094092,-0.54503422
6695,10345183,NA,Cdk10,cyclin-dependent kinase 10,0.127588149,-0.113705979,0.320995282
6696,10345190,NA,Lgsn,"lengsin, lens protein with glutamine synthetase domain",-0.288893104,-0.42728599,0.884162001
6697,10345197,NA,Pih1d3,PIH1 domain containing 3,0.063755507,-0.441630767,0.0960054
6698,10345200,NA,Gm6489,Aly/REF export factor pseudogene,0.405846717,-0.105572988,0.342985936
6701,10345212,NA,Khdrbs2,"KH domain containing, RNA binding, signal transduction associated 2",0.052250418,-0.537454047,0.111229137
6704,10345228,NA,1700001G17Rik,RIKEN cDNA 1700001G17 gene,-0.414239293,-0.002643314,0.355637965
6705,10345230,NA,Rab23,"RAB23, member RAS oncogene family",-0.176412489,0.273727201,0.135541386
6706,10345241,NA,Dst,dystonin,-0.511392508,0.498311106,-0.063267073
6709,10345357,NA,Imp4,"IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)",0.299056621,0.336557538,-0.142819681
6710,10345368,NA,D1Ertd448e,"DNA segment, Chr 1, ERATO Doi 448, expressed",-0.215937818,0.004977183,0.670939024
6711,10345370,NA,Ptpn18,"protein tyrosine phosphatase, non-receptor type 18",0.350366737,-0.716704023,0.336108003
6712,10345387,NA,Prss39,"protease, serine 39",0.072163744,-0.305884536,-0.302651773
6713,10345393,NA,Cfc1,"cripto, FRL-1, cryptic family 1",-0.121588881,-0.28859859,0.626219368
6714,10345401,NA,Amer3,APC membrane recruitment 3,-0.140495878,0.17365239,0.025430475
6715,10345404,NA,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4,-0.066506215,-0.794162009,0.274696235
6716,10345406,NA,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4,-0.050925169,-0.361993681,0.261578729
6717,10345409,NA,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4,0.630245173,-0.580530475,0.210543353
6718,10345411,NA,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4,-0.00681119,-0.123969639,0.414951521
6719,10345423,NA,Plekhb2,"pleckstrin homology domain containing, family B (evectins) member 2",0.001002634,0.46926037,0.109005349
6723,10345442,NA,Hs6st1,heparan sulfate 6-O-sulfotransferase 1,0.050856955,-0.207738395,0.378044921
6724,10345445,NA,Arid5a,AT rich interactive domain 5A (MRF1-like),0.740183159,0.069815941,0.903372102
6726,10345482,NA,Cnnm4,cyclin M4,-0.309311674,0.094301539,-0.082016849
6727,10345492,NA,Cnnm3,cyclin M3,-0.209039478,0.026902414,0.198655231
6728,10345504,NA,Cox5b,cytochrome c oxidase subunit Vb,0.111271471,0.033023028,-0.31273518
6729,10345509,NA,Zap70,zeta-chain (TCR) associated protein kinase,-0.038535351,-0.46675652,0.378915865
6732,10345546,NA,Vwa3b,von Willebrand factor A domain containing 3B,0.005216319,0.013162679,0.231471059
6733,10345548,NA,Vwa3b,von Willebrand factor A domain containing 3B,0.272407585,-0.401135612,0.11586708
6734,10345550,NA,Vwa3b,von Willebrand factor A domain containing 3B,0.283937538,-1.253164749,0.274825206
6735,10345552,NA,Vwa3b,von Willebrand factor A domain containing 3B,-0.44118984,-0.282764454,0.009957684
6736,10345554,NA,Vwa3b,von Willebrand factor A domain containing 3B,0.071504456,-0.057780136,0.271738022
6737,10345556,NA,Vwa3b,von Willebrand factor A domain containing 3B,-0.137458575,-0.3117763,0.048785489
6738,10345558,NA,Vwa3b,von Willebrand factor A domain containing 3B,0.204872832,-0.538560197,0.056894908
6739,10345571,NA,Cnga3,cyclic nucleotide gated channel alpha 3,0.202862199,-0.681923454,0.146489499
6740,10345580,NA,Inpp4a,"inositol polyphosphate-4-phosphatase, type I",-0.660360593,-0.119603648,0.261788775
6741,10345608,NA,Unc50,unc-50 homolog (C. elegans),-0.057691343,-0.722189843,-0.215721853
6742,10345616,NA,Lipt1,lipoyltransferase 1,0.003003848,-0.680555825,0.190187586
6743,10345620,NA,Mrpl30,mitochondrial ribosomal protein L30,-0.806631404,-0.026179568,-0.494943258
6744,10345626,NA,Eif5b,eukaryotic translation initiation factor 5B,0.260213023,0.337136831,-0.345716624
6745,10345656,NA,Nms,neuromedin S,-0.058869181,-0.418033877,0.074366386
6746,10345666,NA,Pdcl3,phosducin-like 3,1.124903097,-0.003247388,-0.145720509
6747,10345675,NA,Npas2,neuronal PAS domain protein 2,-0.744970539,1.453700272,0.032784333
6750,10345706,NA,Cnot11,"CCR4-NOT transcription complex, subunit 11",0.201989406,1.446494633,0.009497758
6751,10345715,NA,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4,-0.082283996,0.339390854,0.354138171
6752,10345752,NA,Il1r2,"interleukin 1 receptor, type II",-0.091919727,-0.133072653,0.302264783
6753,10345762,NA,Il1r1,"interleukin 1 receptor, type I",-1.303885732,0.995349351,-1.062693795
6754,10345777,NA,Il1rl2,interleukin 1 receptor-like 2,-0.280391312,-0.697413146,-0.159981356
6755,10345791,NA,Il1rl1,interleukin 1 receptor-like 1,-0.226790861,-0.477241824,0.331926572
6756,10345807,NA,Il18r1,interleukin 18 receptor 1,-0.136149887,-0.036343954,0.554369158
6757,10345824,NA,Il18rap,interleukin 18 receptor accessory protein,0.301622079,-0.602995848,0.386924553
6758,10345840,NA,Slc9a4,"solute carrier family 9 (sodium/hydrogen exchanger), member 4",-0.135326455,-0.219292039,0.080866506
6759,10345855,NA,Slc9a2,"solute carrier family 9 (sodium/hydrogen exchanger), member 2",0.311229949,0.033740142,0.325232201
6760,10345869,NA,Tmem182,transmembrane protein 182,-0.044292634,-0.481110757,-0.128494393
6763,10345879,NA,Pou3f3,"POU domain, class 3, transcription factor 3",-0.00071843,-0.596649579,0.762593591
6764,10345882,NA,Mrps9,mitochondrial ribosomal protein S9,1.10703066,0.299982315,-0.499731557
6765,10345895,NA,Gpr45,G protein-coupled receptor 45,0.123132713,-0.004868117,0.698480743
6767,10345904,NA,AI597479,expressed sequence AI597479,0.235145594,0.017514559,-0.266440399
6768,10345909,NA,Rpl29,ribosomal protein L29,0.353529447,0.431767594,-0.169116705
6770,10345913,NA,Nck2,non-catalytic region of tyrosine kinase adaptor protein 2,-0.294727961,0.139031132,0.219263251
6771,10345921,NA,1500015O10Rik,RIKEN cDNA 1500015O10 gene,1.216166447,0.59134691,1.120670403
6772,10345926,NA,Gm19587,ADP-ribosylation factor 1-like,-0.424440845,-0.581686208,1.086341725
6774,10345930,NA,Tpp2,tripeptidyl peptidase II,0.017514341,0.656064506,-1.295354656
6775,10345967,NA,Bivm,"basic, immunoglobulin-like variable motif containing",0.248462778,0.218731243,-0.268383925
6776,10345981,NA,Ercc5,"excision repair cross-complementing rodent repair deficiency, complementation group 5",-0.577645582,0.506568184,-0.477938576
6777,10346000,NA,Gulp1,"GULP, engulfment adaptor PTB domain containing 1",-0.604089938,0.004944297,-1.285117508
6778,10346015,NA,Col3a1,"collagen, type III, alpha 1",0.202922813,-0.001054584,0.442544354
6782,10346074,NA,Wdr75,WD repeat domain 75,-1.008978913,1.246530809,-0.02709626
6785,10346107,NA,Dnah7b,"dynein, axonemal, heavy chain 7B",-0.235745717,-0.442366175,0.510861775
6786,10346109,NA,Dnah7b,"dynein, axonemal, heavy chain 7B",0.932585624,-0.234923082,-0.332745532
6793,10346150,NA,Tmeff2,transmembrane protein with EGF-like and two follistatin-like domains 2,0.519853648,0.698239195,-1.166832625
6794,10346164,NA,Sdpr,serum deprivation response,0.817337326,-0.072789059,-0.658121824
6795,10346168,NA,Stat4,signal transducer and activator of transcription 4,0.301177733,-0.367826582,0.163895685
6796,10346191,NA,Stat1,signal transducer and activator of transcription 1,-0.311667978,0.166774143,-0.691291252
6798,10346224,NA,Tmem194b,transmembrane protein 194B,-0.231646056,-0.356364506,0.533260457
6799,10346235,NA,Hibch,3-hydroxyisobutyryl-Coenzyme A hydrolase,0.242843872,-0.373647888,-1.073541279
6800,10346250,NA,Mstn,myostatin,0.155486624,-0.854322832,0.308967023
6801,10346255,NA,Ormdl1,ORM1-like 1 (S. cerevisiae),-0.335824339,-0.727720989,-0.14565472
6802,10346260,NA,Osgepl1,O-sialoglycoprotein endopeptidase-like 1,-0.325102753,-0.230206045,-0.487899521
6803,10346269,NA,Ccdc150,coiled-coil domain containing 150,0.021239098,-0.224873578,0.294193692
6804,10346298,NA,Coq10b,coenzyme Q10 homolog B (S. cerevisiae),0.202995178,0.325570444,-0.565476703
6805,10346303,NA,Hspe1,heat shock protein 1 (chaperonin 10),0.356875133,0.225452056,-0.764001863
6806,10346310,NA,Mob4,"MOB family member 4, phocein",-0.308733979,0.497075591,-1.19983138
6807,10346321,NA,Gm10561,predicted gene 10561,0.186705073,-0.374278675,0.446939476
6808,10346323,NA,Mars2,methionine-tRNA synthetase 2 (mitochondrial),0.058685764,0.4997206,-0.096605535
6810,10346330,NA,Plcl1,phospholipase C-like 1,-0.081528446,-0.056877949,-0.349947143
6811,10346337,NA,1700066M21Rik,RIKEN cDNA 1700066M21 gene,-0.012435124,0.679204673,0.115307734
6812,10346340,NA,9430016H08Rik,RIKEN cDNA 9430016H08 gene,-0.290727009,1.641608857,-0.573737325
6813,10346348,NA,Spats2l,"spermatogenesis associated, serine-rich 2-like",0.090868574,-0.129885748,-0.052114758
6814,10346365,NA,Sgol2,shugoshin-like 2 (S. pombe),0.575873761,1.171504278,-1.38440278
6815,10346374,NA,Aox1,aldehyde oxidase 1,-0.833437815,0.106400623,-0.474411968
6816,10346410,NA,Aox3,aldehyde oxidase 3,-0.233272131,0.106295215,0.376707226
6817,10346448,NA,Aox4,aldehyde oxidase 4,0.41561224,-0.379443588,0.411019527
6818,10346485,NA,Aox2,aldehyde oxidase 2,0.181164279,-0.302716482,0.233238179
6819,10346523,NA,Bzw1,basic leucine zipper and W2 domains 1,0.084715329,0.534638934,-0.504221814
6820,10346533,NA,Nif3l1,Ngg1 interacting factor 3-like 1 (S. pombe),-0.157195437,0.034014421,-0.308043164
6821,10346544,NA,Ndufb3,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3,-0.691882526,0.291091836,-0.0569199
6822,10346549,NA,Cbx3,chromobox 3,0.24597306,-0.413035402,-0.986673042
6823,10346551,NA,Cflar,CASP8 and FADD-like apoptosis regulator,0.142039658,-0.119823156,0.156261411
6824,10346562,NA,Cflar,CASP8 and FADD-like apoptosis regulator,-0.151708369,1.216962689,-1.09319685
6825,10346564,NA,Casp8,caspase 8,-0.495467214,-0.117778403,-0.085833711
6826,10346576,NA,Stradb,STE20-related kinase adaptor beta,0.298721698,-0.558801902,0.328486491
6828,10346594,NA,Cdk15,cyclin-dependent kinase 15,0.098016082,-0.182535779,0.206858514
6829,10346607,NA,Fzd7,frizzled homolog 7 (Drosophila),0.347458472,0.045117632,0.162785865
6830,10346611,NA,Gm973,predicted gene 973,-0.097960598,-0.185281352,0.331077402
6831,10346634,NA,Nop58,NOP58 ribonucleoprotein,-0.100113147,0.281230245,-0.821437425
6832,10346651,NA,Bmpr2,"bone morphogenetic protein receptor, type II (serine/threonine kinase)",0.145792469,0.363528331,0.113130342
6833,10346668,NA,Fam117b,"family with sequence similarity 117, member B",-0.412785743,0.30384273,0.653687138
6834,10346678,NA,Carf,calcium response factor,-0.010948255,-0.017573041,-0.373996977
6835,10346695,NA,Nbeal1,neurobeachin like 1,-1.315833338,0.692696738,-0.798243489
6836,10346722,NA,Nbeal1,neurobeachin like 1,-0.173847158,0.457914851,-1.668644748
6837,10346747,NA,Cyp20a1,"cytochrome P450, family 20, subfamily a, polypeptide 1",-0.062088864,0.439355624,0.498651557
6839,10346764,NA,Abi2,abl-interactor 2,-0.431600532,0.568782175,-0.305048561
6840,10346780,NA,Eif4a1,eukaryotic translation initiation factor 4A1,0.260934999,0.156417872,0.31978785
6841,10346783,NA,Cd28,CD28 antigen,0.100248362,-0.155201631,0.072048608
6842,10346790,NA,Ctla4,cytotoxic T-lymphocyte-associated protein 4,0,-0.1393963,0.521602042
6843,10346799,NA,Icos,inducible T cell co-stimulator,0.207355606,-0.211506949,0.428396554
6845,10346810,NA,Pard3b,par-3 family cell polarity regulator beta,0.421148995,0.160701309,-0.492566677
6846,10346838,NA,Pard3b,par-3 family cell polarity regulator beta,0.503413108,-0.151060195,-1.033013402
6848,10346843,NA,Nrp2,neuropilin 2,-0.029362783,0.014930825,0.130813685
6849,10346867,NA,Eef1b2,eukaryotic translation elongation factor 1 beta 2,0.122711299,0.226068378,-0.252712295
6851,10346876,NA,Snora41,"small nucleolar RNA, H/ACA box 41",0.736933068,-1.167642835,0.53900353
6852,10346878,NA,Zdbf2,"zinc finger, DBF-type containing 2",0.221463556,1.459401267,-1.493108758
6853,10346882,NA,Adam23,a disintegrin and metallopeptidase domain 23,-0.064177996,0.026840629,-0.391754384
6854,10346914,NA,Fastkd2,FAST kinase domains 2,0.097703432,1.060885166,-0.152743823
6856,10346938,NA,Gm13749,predicted gene 13749,0.039231675,-0.22213369,0.68868854
6858,10346943,NA,Creb1,cAMP responsive element binding protein 1,-0.021996502,0.1341943,-0.30278485
6859,10346960,NA,Ccnyl1,cyclin Y-like 1,0.442019751,1.379085302,-1.516272098
6860,10346970,NA,Pikfyve,"phosphoinositide kinase, FYVE finger containing",-0.132228999,0.740700952,-0.223954993
6861,10347018,NA,Pth2r,parathyroid hormone 2 receptor,0.100358722,-0.213173398,-0.112884808
6862,10347033,NA,Crygf,"crystallin, gamma F",0.021847647,-0.382273913,0.491133312
6863,10347036,NA,Map2,microtubule-associated protein 2,-0.192854346,0.491956803,-1.624042099
6865,10347060,NA,Unc80,unc-80 homolog (C. elegans),-0.123775768,-0.39605576,-0.52213919
6866,10347073,NA,Unc80,unc-80 homolog (C. elegans),0.315384871,-0.071428569,0.744222043
6867,10347106,NA,Rpe,ribulose-5-phosphate-3-epimerase,-0.707616537,-0.266024297,-0.730902247
6869,10347117,NA,Cps1,carbamoyl-phosphate synthetase 1,0.042446406,0.003495459,0.352294571
6871,10347163,NA,Spag16,sperm associated antigen 16,-0.044013829,-0.102098092,0.381592876
6873,10347188,NA,Vwc2l,von Willebrand factor C domain-containing protein 2-like,0.206886131,0.252641181,-0.116731483
6874,10347193,NA,Atic,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,0.327861483,-0.373271285,0.81719598
6877,10347216,NA,Rpl21,ribosomal protein L21,0.121290231,1.201599356,-0.554520461
6882,10347226,NA,Tmem169,transmembrane protein 169,0.23507297,-0.043348876,0.167709537
6883,10347232,NA,Xrcc5,X-ray repair complementing defective repair in Chinese hamster cells 5,-0.271922415,0.242258641,-0.95698351
6884,10347254,NA,Smarcal1,"SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1",0.115355126,0.155070333,0.212034225
6885,10347273,NA,Rpl37a,ribosomal protein L37a,0.431811936,-0.177007714,-1.331961994
6886,10347277,NA,Igfbp2,insulin-like growth factor binding protein 2,0.588950517,-0.27750447,0.471346355
6887,10347282,NA,Rufy4,RUN and FYVE domain containing 4,-0.081873479,-0.429915616,0.607825122
6888,10347291,NA,Cxcr2,chemokine (C-X-C motif) receptor 2,0.123882596,0.009335071,0.214397407
6890,10347297,NA,Arpc2,"actin related protein 2/3 complex, subunit 2",0.296892966,0.274547695,-0.11516022
6891,10347307,NA,Gpbar1,G protein-coupled bile acid receptor 1,-0.027054155,-0.021929431,0.319089711
6892,10347310,NA,Pnkd,paroxysmal nonkinesiogenic dyskinesia,0.212960217,-0.236739854,-0.091466326
6893,10347324,NA,Gm216,predicted gene 216,0.47489938,-0.2424583,0.195408084
6894,10347335,NA,Slc11a1,"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",0.692848383,0.364666852,0.245400247
6895,10347351,NA,Ctdsp1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1",-0.149201434,0.170357545,-0.074266155
6896,10347362,NA,Mir26b,microRNA 26b,0.187719931,-0.403542404,0.635705476
6897,10347364,NA,Vil1,villin 1,-0.255675184,0.192455832,0.066451346
6898,10347386,NA,Rqcd1,rcd1 (required for cell differentiation) homolog 1 (S. pombe),-0.004384771,0.185905882,-0.811987834
6899,10347398,NA,Plcd4,"phospholipase C, delta 4",-0.119888668,0.085330204,-0.140185685
6900,10347417,NA,Bcs1l,BCS1-like (yeast),-0.650218246,-0.37265013,0.118808335
6901,10347427,NA,Stk36,serine/threonine kinase 36,0.373973364,-0.514807245,0.411455204
6902,10347460,NA,Ttll4,"tubulin tyrosine ligase-like family, member 4",0.291108854,0.162678313,0.16482315
6903,10347481,NA,Cyp27a1,"cytochrome P450, family 27, subfamily a, polypeptide 1",-0.896631234,-0.364669044,0.632241258
6904,10347491,NA,Wnt6,wingless-related MMTV integration site 6,0.289854201,-0.286902121,0.120111214
6905,10347497,NA,Wnt10a,wingless related MMTV integration site 10a,0.059350278,-0.314757846,0.600363877
6906,10347503,NA,Cdk5r2,"cyclin-dependent kinase 5, regulatory subunit 2 (p39)",-0.141899842,-0.155933844,0.218056114
6907,10347508,NA,Fam134a,"family with sequence similarity 134, member A",0.375173662,0.333447567,-0.015571718
6908,10347521,NA,Zfand2b,"zinc finger, AN1 type domain 2B",0.023868316,-0.536401984,0.285164532
6909,10347531,NA,Ankzf1,ankyrin repeat and zinc finger domain containing 1,0.271388695,-0.445372391,0.132687217
6910,10347552,NA,Stk16,serine/threonine kinase 16,0.841906147,0.33664753,-0.537502961
6911,10347564,NA,Dnajb2,"DnaJ (Hsp40) homolog, subfamily B, member 2",-0.071322572,-0.402624084,0.052325832
6912,10347583,NA,Des,desmin,-0.012076932,-0.232173535,0.703158983
6913,10347593,NA,Speg,SPEG complex locus,0.286406158,-0.017951083,1.064183021
6914,10347639,NA,Gmppa,GDP-mannose pyrophosphorylase A,-0.38002992,0.169619274,0.66308442
6915,10347650,NA,Asic4,acid-sensing (proton-gated) ion channel family member 4,0.376625892,-0.108827019,-0.101107914
6916,10347662,NA,Tmem198,transmembrane protein 198,0.470196605,-0.933965692,0.146511071
6917,10347669,NA,Inha,inhibin alpha,-0.396214563,-0.588795403,0.484371201
6918,10347672,NA,Stk11ip,serine/threonine kinase 11 interacting protein,0.215372676,-0.249470814,0.801031106
6919,10347697,NA,Slc4a3,"solute carrier family 4 (anion exchanger), member 3",0.003774164,-0.060049244,0.157767414
6920,10347724,NA,Slc4a3,"solute carrier family 4 (anion exchanger), member 3",0.284108683,-0.421000658,-0.991411586
6925,10347734,NA,Sgpp2,sphingosine-1-phosphate phosphotase 2,-0.044549376,-0.531444896,0.10942514
6926,10347741,NA,Mogat1,monoacylglycerol O-acyltransferase 1,0.266855378,-0.230554286,-0.36235466
6927,10347748,NA,Acsl3,acyl-CoA synthetase long-chain family member 3,0.028557892,1.097219682,-1.129091751
6928,10347767,NA,Kcne4,"potassium voltage-gated channel, Isk-related subfamily, gene 4",-0.286599407,0.807874338,0.468730945
6929,10347772,NA,Gm10555,predicted gene 10555,-0.022217591,-0.240849614,0.465263169
6930,10347774,NA,Mrpl44,mitochondrial ribosomal protein L44,0.040198739,-0.169168662,-0.278920193
6931,10347779,NA,9830004L10Rik,RIKEN cDNA 9830004L10 gene,-0.056820297,0.410742135,0.761891282
6932,10347781,NA,Nyap2,neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2,0.058388962,-0.164967192,0.164859652
6935,10347796,NA,Rhbdd1,rhomboid domain containing 1,0.159418057,0.64756526,0.037966297
6936,10347807,NA,Col4a3,"collagen, type IV, alpha 3",0.015986534,-0.291060112,0.350203508
6938,10347862,NA,Mff,mitochondrial fission factor,-0.736529734,1.05373619,-0.696183825
6939,10347873,NA,Agfg1,ArfGAP with FG repeats 1,-0.597868377,0.991947844,-0.262331459
6940,10347888,NA,Ccl20,chemokine (C-C motif) ligand 20,0.392131614,0.156958876,0.036692887
6941,10347895,NA,Daw1,dynein assembly factor with WDR repeat domains 1,-0.139155615,-0.230621407,0.273823028
6942,10347910,NA,Fbxo36,F-box protein 36,-0.099658182,-0.288046906,0.343811647
6944,10347917,NA,Rpl19,ribosomal protein L19,-0.028995525,0.234331191,0.043508122
6945,10347919,NA,A530040E14Rik,RIKEN cDNA A530040E14 gene,0.448254397,-0.41368493,0.431707443
6946,10347921,NA,A530040E14Rik,RIKEN cDNA A530040E14 gene,0.337026526,-0.336190118,0.426332254
6948,10347928,NA,Sp110,Sp110 nuclear body protein,0.135984782,0.724388545,0.672914679
6951,10347948,NA,Sp100,nuclear antigen Sp100,0.19273304,-0.170099549,-0.232663632
6952,10347968,NA,Sp100,nuclear antigen Sp100,0.251395342,-0.463936531,0.548523377
6953,10347970,NA,Cab39,calcium binding protein 39,-0.038519665,0.895398522,-0.496092458
6954,10347980,NA,Itm2c,integral membrane protein 2C,-0.172896172,0.472211825,0.35103227
6955,10347988,NA,4933407L21Rik,RIKEN cDNA 4933407L21 gene,0.246366662,-0.291432179,0.421926851
6956,10347992,NA,Spata3,spermatogenesis associated 3,-0.099091062,-0.559178143,0.349965967
6957,10348000,NA,2810459M11Rik,RIKEN cDNA 2810459M11 gene,0.378646694,-0.362040195,0.387712543
6958,10348004,NA,Psmd1,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1",0.191309706,0.573692318,-0.175117187
6960,10348032,NA,Armc9,armadillo repeat containing 9,0.211427783,-0.284194707,0.1779951
